ID	Description
25079	Mean FA in anterior corona radiata on FA skeleton (left)
25078	Mean FA in anterior corona radiata on FA skeleton (right)
25073	Mean FA in anterior limb of internal capsule on FA skeleton (left)
25072	Mean FA in anterior limb of internal capsule on FA skeleton (right)
25059	Mean FA in body of corpus callosum on FA skeleton
25071	Mean FA in cerebral peduncle on FA skeleton (left)
25070	Mean FA in cerebral peduncle on FA skeleton (right)
25091	Mean FA in cingulum cingulate gyrus on FA skeleton (left)
25090	Mean FA in cingulum cingulate gyrus on FA skeleton (right)
25093	Mean FA in cingulum hippocampus on FA skeleton (left)
25092	Mean FA in cingulum hippocampus on FA skeleton (right)
25063	Mean FA in corticospinal tract on FA skeleton (left)
25062	Mean FA in corticospinal tract on FA skeleton (right)
25089	Mean FA in external capsule on FA skeleton (left)
25088	Mean FA in external capsule on FA skeleton (right)
25095	Mean FA in fornix cres+stria terminalis on FA skeleton (left)
25094	Mean FA in fornix cres+stria terminalis on FA skeleton (right)
25061	Mean FA in fornix on FA skeleton
25058	Mean FA in genu of corpus callosum on FA skeleton
25067	Mean FA in inferior cerebellar peduncle on FA skeleton (left)
25066	Mean FA in inferior cerebellar peduncle on FA skeleton (right)
25065	Mean FA in medial lemniscus on FA skeleton (left)
25064	Mean FA in medial lemniscus on FA skeleton (right)
25056	Mean FA in middle cerebellar peduncle on FA skeleton
25057	Mean FA in pontine crossing tract on FA skeleton
25083	Mean FA in posterior corona radiata on FA skeleton (left)
25082	Mean FA in posterior corona radiata on FA skeleton (right)
25075	Mean FA in posterior limb of internal capsule on FA skeleton (left)
25074	Mean FA in posterior limb of internal capsule on FA skeleton (right)
25085	Mean FA in posterior thalamic radiation on FA skeleton (left)
25084	Mean FA in posterior thalamic radiation on FA skeleton (right)
25077	Mean FA in retrolenticular part of internal capsule on FA skeleton (left)
25076	Mean FA in retrolenticular part of internal capsule on FA skeleton (right)
25087	Mean FA in sagittal stratum on FA skeleton (left)
25086	Mean FA in sagittal stratum on FA skeleton (right)
25060	Mean FA in splenium of corpus callosum on FA skeleton
25069	Mean FA in superior cerebellar peduncle on FA skeleton (left)
25068	Mean FA in superior cerebellar peduncle on FA skeleton (right)
25081	Mean FA in superior corona radiata on FA skeleton (left)
25080	Mean FA in superior corona radiata on FA skeleton (right)
25099	Mean FA in superior fronto-occipital fasciculus on FA skeleton (left)
25098	Mean FA in superior fronto-occipital fasciculus on FA skeleton (right)
25097	Mean FA in superior longitudinal fasciculus on FA skeleton (left)
25096	Mean FA in superior longitudinal fasciculus on FA skeleton (right)
25103	Mean FA in tapetum on FA skeleton (left)
25102	Mean FA in tapetum on FA skeleton (right)
25101	Mean FA in uncinate fasciculus on FA skeleton (left)
25100	Mean FA in uncinate fasciculus on FA skeleton (right)
